ticker|returnOnEquity|returnOnAssets|payoutRatio|PE|debtToEquity|growthRate|ggmReturn|div10YReturn|rdpReturn
HTHT|-0.2628|-0.0094|0.0000|66.7475|471.1350|-0.2628|-0.2628|-0.2628|-0.0000|-0.2628
HTIA|-0.0983|0.0031|0.0000|99999.0000|132.9830|-0.0983|-0.0983|-0.0983|-0.6032|-0.0983
HTLD|0.1005|0.0531|0.0920|21.5172|0.0000|0.0913|0.0955|0.0955|0.0403|0.0959
HTLF|0.0754|0.0089|0.2523|12.2605|0.0000|0.0564|0.0770|0.0770|0.0745|0.0781
HTLFP|0.0754|0.0089|0.0000|99999.0000|0.0000|0.0754|0.0754|0.0754|-0.5267|0.0754
HTOO|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
HTOOW|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
HTPA|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
HTY|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
HUBB|0.1908|0.0736|0.5345|23.4679|76.5040|0.0888|0.1116|0.1116|0.0545|0.1136
HUBG|0.0726|0.0342|0.0000|23.0435|24.2010|0.0726|0.0726|0.0726|0.0108|0.0726
HUBS|-0.1174|-0.0189|0.0000|269.8116|107.4790|-0.1174|-0.1174|-0.1174|-0.0001|-0.1174
HUDI|0.2822|0.0787|0.0000|99999.0000|145.1260|0.2822|0.2822|0.2822|-0.4357|0.2822
HUGE|-1.0498|-0.4620|0.0000|99999.0000|3.2270|-1.0498|-1.0498|-1.0498|0.0000|-1.0498
HUIZ|0.0035|-0.0066|0.0000|99999.0000|24.2980|0.0035|0.0035|0.0035|-0.1062|0.0035
HUM|0.3035|0.1055|0.0776|12.4917|50.7170|0.2799|0.2861|0.2861|0.2826|0.2879
HUN|0.0628|0.0132|0.9155|6.0484|76.1920|0.0053|0.1567|0.1567|0.1511|0.1575
HURC|-0.0265|-0.0098|0.0000|99999.0000|5.2440|-0.0265|-0.0265|-0.0265|0.0000|-0.0265
HURN|-0.0057|0.0362|0.0000|23.2016|59.5040|-0.0057|-0.0057|-0.0057|-0.0636|-0.0057
HUSN|-0.8499|-0.4630|0.0000|99999.0000|5.2250|-0.8499|-0.8499|-0.8499|-0.7812|-0.8499
HUYA|0.0866|0.0344|0.0000|23.1802|0.9760|0.0866|0.0866|0.0866|0.0235|0.0866
HVBC|0.0000|0.0000|0.0000|8.5075|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000
HVT|0.1485|0.0203|0.3606|15.6123|89.9350|0.0950|0.1181|0.1181|0.0949|0.1203
HWBK|0.1194|0.0000|0.2329|8.4727|0.0000|0.0916|0.1191|0.1191|0.1192|0.1216
HWC|-0.0131|-0.0014|0.0000|9.7713|0.0000|-0.0131|-0.0131|-0.0131|-0.0131|-0.0131
HWCC|-0.0292|0.0048|0.0000|6.1636|75.5960|-0.0292|-0.0292|-0.0292|-0.0292|-0.0292
HWKN|0.1375|0.0730|0.2973|16.4689|33.1280|0.0966|0.1147|0.1147|0.0862|0.1164
HWM|0.1381|0.0538|0.0320|99999.0000|148.7570|0.1337|0.1337|0.1337|-0.5010|0.1337
HX|-1.3846|-0.3427|0.0000|2.6628|73.9310|-1.3846|-1.3846|-1.3846|1666.7449|-1.3846
HXL|0.0214|0.0029|0.4474|118.7831|61.3430|0.0118|0.0156|0.0156|-0.1681|0.0157
HY|0.0501|0.0150|0.7791|56.4583|50.3150|0.0111|0.0249|0.0249|-0.0963|0.0250
HYB|-0.0215|0.0334|0.0000|99999.0000|37.0420|-0.0215|-0.0215|-0.0215|-0.0000|-0.0215
HYFM|0.0000|0.0000|0.0000|99999.0000|344.3760|0.0000|0.0000|0.0000|-0.0338|0.0000
HYI|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
HYLN|0.0000|0.0000|0.0000|99999.0000|2344.3950|0.0000|0.0000|0.0000|-0.0338|0.0000
HYMC|0.0000|-0.3065|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
HYMCL|0.0000|-0.3065|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
HYMCW|0.0000|-0.3065|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
HYRE|-2.5241|-0.8446|0.0000|-78.4167|893.3860|-2.5241|-2.5241|-2.5241|-1.0000|-2.5241
HYT|0.0000|0.0000|1.1077|14.9597|47.0230|-0.0000|0.0740|0.0740|0.0554|0.0740
HZAC|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
HZN|-7.6399|-0.0540|0.0000|-83.0909|0.0000|-7.6399|-7.6399|-7.6399|-1.0000|-7.6399
HZNP|0.2959|0.0462|0.0000|20.2464|27.6820|0.2959|0.2959|0.2959|0.2358|0.2959
HZO|0.1811|0.0869|0.0000|12.7804|42.2860|0.1811|0.1811|0.1811|0.1744|0.1811
HZON|0.0000|0.0000|0.0000|99999.0000|2871.6190|0.0000|0.0000|0.0000|-0.0338|0.0000
IAA|0.0000|0.0835|0.0000|39.5601|0.0000|0.0000|0.0000|0.0000|-0.1028|0.0000
IAC|-0.0477|-0.0290|0.0000|-122.1264|16.7220|-0.0477|-0.0477|-0.0477|-1.0000|-0.0477
IACA|0.0000|0.0000|0.0000|99999.0000|375.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
IAE|0.0000|0.0000|1.3871|83.4545|0.0000|-0.0000|0.0166|0.0166|-0.1253|0.0166
IAG|-0.1178|0.0136|0.0000|24.2857|22.2720|-0.1178|-0.1178|-0.1178|-0.1725|-0.1178
IART|0.0406|0.0379|0.0000|103.5455|123.7830|0.0406|0.0406|0.0406|-0.1446|0.0406
IBA|0.0768|0.0284|0.2410|9.8995|7.5270|0.0583|0.0827|0.0827|0.0820|0.0841
IBCP|0.1487|0.0137|0.3305|8.1507|0.0000|0.0996|0.1401|0.1401|0.1408|0.1442
IBEX|0.0000|0.0000|0.0000|126.1806|159.1190|0.0000|0.0000|0.0000|-0.0000|0.0000
IBKR|0.1392|0.0141|0.1653|39.4717|110.5850|0.1162|0.1204|0.1204|0.0089|0.1208
IBM|0.2638|0.0276|1.0620|19.2776|320.7030|-0.0164|0.0387|0.0387|0.0028|0.0378
IBN|0.1130|0.0114|0.0000|42.9310|0.0000|0.1130|0.1130|0.1130|-0.0088|0.1130
IBOC|0.0812|0.0134|0.4151|14.8323|0.0000|0.0475|0.0755|0.0755|0.0569|0.0768
IBP|0.3333|0.0873|0.0000|35.2913|205.0560|0.3333|0.3333|0.3333|0.2087|0.3333
IBTX|0.0809|0.0120|0.2232|13.9688|0.0000|0.0628|0.0788|0.0788|0.0648|0.0798
ICAD|-1.1542|-0.1376|0.0000|-74.8095|38.7930|-1.1542|-1.1542|-1.1542|-1.0000|-1.1542
ICBK|0.0252|0.0029|0.0000|36.2371|0.0000|0.0252|0.0252|0.0252|-0.0728|0.0252
ICCC|-0.0532|-0.0157|0.0000|-67.7273|39.1640|-0.0532|-0.0532|-0.0532|-1.0000|-0.0532
ICCH|0.0426|0.0124|0.0000|15.4545|22.1920|0.0426|0.0426|0.0426|0.0189|0.0426
ICD|-0.2698|-0.0392|0.0000|-0.5052|51.1140|-0.2698|-0.2698|-0.2698|-1.0000|-0.2698
ICE|0.1117|0.0169|0.3237|31.0391|92.1710|0.0755|0.0860|0.0860|0.0020|0.0868
ICFI|0.0871|0.0401|0.1745|24.9704|74.5640|0.0719|0.0789|0.0789|0.0122|0.0794
ICHR|0.1243|0.0393|0.0000|29.1329|83.8050|0.1243|0.1243|0.1243|0.0372|0.1243
ICL|0.0005|0.0103|0.0000|18.8276|69.5180|0.0005|0.0005|0.0005|-0.0396|0.0005
ICLK|-0.1103|-0.0099|0.0000|61.6522|28.8130|-0.1103|-0.1103|-0.1103|-0.2333|-0.1103
ICLR|0.2042|0.0871|0.0000|34.2810|25.5220|0.2042|0.2042|0.2042|0.0946|0.2042
ICMB|-0.1694|0.0470|0.0000|4.7980|153.4380|-0.1694|-0.1694|-0.1694|-0.1694|-0.1694
ICON|0.0000|0.0680|0.0000|-0.8426|0.0000|0.0000|0.0000|0.0000|-1.0000|0.0000
ICPT|-1432.5491|-0.2391|0.0000|-6.1248|0.0000|-1432.5491|-1432.5491|-1432.5491|-1.0000|-1432.5491
ICUI|0.0583|0.0547|0.0000|54.0450|3.6990|0.0583|0.0583|0.0583|-0.0770|0.0583
IDA|0.0982|0.0278|0.5492|18.3012|77.7620|0.0443|0.0743|0.0743|0.0392|0.0756
IDCC|0.0657|0.0296|0.7254|34.2879|45.2890|0.0180|0.0392|0.0392|-0.0437|0.0396
IDE|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
IDEX|-1.5242|-0.1631|0.0000|99999.0000|22.5760|-1.5242|-1.5242|-1.5242|461.2613|-1.5242
IDN|-0.0372|-0.0217|0.0000|45.1538|4.1880|-0.0372|-0.0372|-0.0372|-0.1464|-0.0372
IDRA|-22.8060|-0.6502|0.0000|-7.5541|0.0000|-22.8060|-22.8060|-22.8060|-1.0000|-22.8060
IDT|0.4812|0.0547|0.0000|11.8871|12.4640|0.4812|0.4812|0.4812|0.4812|0.4812
IDXG|-0.9343|-0.2885|0.0000|-2.3820|20.3050|-0.9343|-0.9343|-0.9343|-1.0000|-0.9343
IDXX|1.5461|0.2101|0.0000|84.0777|224.5670|1.5461|1.5461|1.5461|1.1331|1.5461
IDYA|-0.2625|-0.1221|0.0000|-13.3937|3.6260|-0.2625|-0.2625|-0.2625|-1.0000|-0.2625
IEA|0.0000|0.0817|0.0000|38.6680|0.0000|0.0000|0.0000|0.0000|-0.1009|0.0000
IEC|0.1919|0.0595|0.0000|24.1905|73.4850|0.1919|0.1919|0.1919|0.1183|0.1919
IEP|-0.2988|-0.0641|0.0000|-349.8125|98.5010|-0.2988|-0.2988|-0.2988|-1.0000|-0.2988
IESC|0.1517|0.0709|0.0000|24.1753|11.7110|0.1517|0.1517|0.1517|0.0807|0.1517
IEX|0.1639|0.0844|0.4082|38.5265|48.1390|0.0970|0.1076|0.1076|0.0043|0.1086
IFF|0.0616|0.0359|0.9042|34.4165|69.9760|0.0059|0.0322|0.0322|-0.0481|0.0323
IFMK|-0.4279|-0.0270|0.0000|99999.0000|483.5220|-0.4279|-0.4279|-0.4279|0.0000|-0.4279
IFN|-0.1824|0.0004|0.0000|-12.7516|0.0000|-0.1824|-0.1824|-0.1824|-1.0000|-0.1824
IFRX|-0.3643|-0.2039|0.0000|-5.4851|0.7080|-0.3643|-0.3643|-0.3643|-1.0000|-0.3643
IFS|0.0498|0.0053|1.5616|7.9822|0.0000|-0.0280|0.1677|0.1677|0.1559|0.1622
IGA|-0.0630|0.0127|0.0000|99999.0000|0.0000|-0.0630|-0.0630|-0.0630|-0.5876|-0.0630
IGAC|0.0000|0.0000|0.0000|99999.0000|1458.3140|0.0000|0.0000|0.0000|-0.0338|0.0000
IGACU|0.0000|0.0000|0.0000|99999.0000|1458.3140|0.0000|0.0000|0.0000|-0.0338|0.0000
IGD|-0.0565|0.0130|0.0000|99999.0000|0.0000|-0.0565|-0.0565|-0.0565|-0.5848|-0.0565
IGI|0.0000|0.0000|0.7216|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.5580|0.0000
IGIC|0.0000|0.0000|0.1833|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.5594|0.0000
IGMS|-0.3232|-0.1933|0.0000|-48.6429|6.8450|-0.3232|-0.3232|-0.3232|-1.0000|-0.3232
IGNYU|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
IGR|-0.1220|0.0098|0.0000|99999.0000|27.2950|-0.1220|-0.1220|-0.1220|-0.0066|-0.1220
IGT|-0.3490|0.0176|0.0000|19.7791|502.0210|-0.3490|-0.3490|-0.3490|-0.0000|-0.3490
IH|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
IHC|0.0091|0.0056|1.5000|144.6125|0.0000|-0.0046|0.0058|0.0058|-0.1758|0.0058
IHD|0.0000|0.0000|1.7143|99999.0000|0.0000|-0.0000|0.0000|0.0000|-0.5555|0.0000
IHG|0.0000|0.0592|0.0000|25.7976|0.0000|0.0000|0.0000|0.0000|-0.0672|0.0000
IHIT|-0.1839|0.0329|0.0000|99999.0000|40.3270|-0.1839|-0.1839|-0.1839|-0.6408|-0.1839
IHRT|-0.9551|0.0030|0.0000|103.0000|667.0630|-0.9551|-0.9551|-0.9551|-0.7812|-0.9551
IHTA|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
IIAC|0.0000|0.0000|0.0000|99999.0000|437.1320|0.0000|0.0000|0.0000|-0.0338|0.0000
IID|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
IIF|-0.2505|0.0008|0.0000|99999.0000|0.0000|-0.2505|-0.2505|-0.2505|-0.0001|-0.2505
III|0.0382|0.0303|0.0000|52.2464|88.2880|0.0382|0.0382|0.0382|-0.0918|0.0382
IIIIU|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
IIIN|0.1086|0.0715|0.0876|18.9197|1.0260|0.0991|0.1037|0.1037|0.0601|0.1042
IIIV|-0.0051|0.0115|0.0000|23.9355|37.7890|-0.0051|-0.0051|-0.0051|-0.0656|-0.0051
IIM|0.0251|0.0213|1.6859|37.7698|60.5470|-0.0172|0.0274|0.0274|-0.0498|0.0266
IIN|-0.0317|-0.0081|0.0000|56.2647|4.4950|-0.0317|-0.0317|-0.0317|-0.1586|-0.0317
IIPR|0.0631|0.0338|1.3386|61.6720|10.8100|-0.0214|0.0003|0.0003|-0.1168|-0.0001
IIVI|0.0020|0.0271|0.0000|22.4935|54.2840|0.0020|0.0020|0.0020|-0.0536|0.0020
IIVIP|0.0020|0.0271|0.0000|99999.0000|54.2840|0.0020|0.0020|0.0020|-0.0671|0.0020
IKNX|-0.1747|-0.0685|0.0000|99999.0000|37.9820|-0.1747|-0.1747|-0.1747|-0.6368|-0.1747
IKT|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
ILMN|0.1396|0.0712|0.0000|101.5809|40.5320|0.1396|0.1396|0.1396|-0.0615|0.1396
ILPT|0.0506|0.0271|1.6098|26.2561|127.0180|-0.0309|0.0304|0.0304|-0.0224|0.0285
IMAB|-0.7433|-0.3915|0.0000|99999.0000|4.9650|-0.7433|-0.7433|-0.7433|-0.8870|-0.7433
IMAC|-0.9163|-0.2017|0.0000|-4.9091|145.3670|-0.9163|-0.9163|-0.9163|-1.0000|-0.9163
IMAX|-0.2130|-0.0564|0.0000|74.3461|66.3250|-0.2130|-0.2130|-0.2130|-0.3333|-0.2130
IMBI|-0.9069|-0.0582|0.0000|-4.5600|186.1330|-0.9069|-0.9069|-0.9069|-1.0000|-0.9069
IMGN|0.0000|-0.1204|0.0000|-9.3766|0.0000|0.0000|0.0000|0.0000|-1.0000|0.0000
IMKTA|0.2410|0.0967|0.0935|5.2348|79.9250|0.2185|0.2363|0.2363|0.2384|0.2402
IMMP|-0.4669|-0.2162|0.0000|-11.4815|27.1820|-0.4669|-0.4669|-0.4669|-1.0000|-0.4669
IMMR|-0.0246|-0.0130|0.0000|20.8571|6.3000|-0.0246|-0.0246|-0.0246|-0.0725|-0.0246
IMNM|0.0000|0.0000|0.0000|99999.0000|10.3860|0.0000|0.0000|0.0000|-0.0338|0.0000
IMOS|0.1089|0.0595|0.6206|59.0476|49.5980|0.0413|0.0518|0.0518|-0.0786|0.0523
IMPX|0.0000|0.0000|0.0000|99999.0000|857.1890|0.0000|0.0000|0.0000|-0.0338|0.0000
IMRA|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
IMRN|-0.4505|-0.2470|0.0000|99999.0000|1.0830|-0.4505|-0.4505|-0.4505|0.0000|-0.4505
IMTE|-6.7722|-0.4037|0.0000|99999.0000|0.0000|-6.7722|-6.7722|-6.7722|0.0000|-6.7722
IMTX|0.0000|0.0000|0.0000|99999.0000|5.6140|0.0000|0.0000|0.0000|-0.0338|0.0000
IMUX|-0.3630|-0.2689|0.0000|-6.1926|0.6140|-0.3630|-0.3630|-0.3630|-1.0000|-0.3630
IMV|-1.0634|-0.4230|0.0000|99999.0000|22.2790|-1.0634|-1.0634|-1.0634|0.0000|-1.0634
IMVT|-0.3823|-0.2008|0.0000|99999.0000|0.8620|-0.3823|-0.3823|-0.3823|0.0000|-0.3823
IMXI|0.4480|0.0171|0.0000|18.8052|108.8680|0.4480|0.4480|0.4480|0.3900|0.4480
INAQ|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
INAQU|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
INBK|0.0926|0.0071|0.0803|10.7559|0.0000|0.0852|0.0927|0.0927|0.0926|0.0933
INBX|-2.5935|-0.4707|0.0000|99999.0000|22.0820|-2.5935|-2.5935|-2.5935|4.6068|-2.5935
INCY|-0.1390|-0.0596|0.0000|26.1519|2.9640|-0.1390|-0.1390|-0.1390|-0.0000|-0.1390
INDB|0.0711|0.0098|0.5055|21.0082|0.0000|0.0351|0.0592|0.0592|0.0126|0.0600
INDT|-0.0418|0.0105|0.0000|99999.0000|160.0920|-0.0418|-0.0418|-0.0418|-0.0201|-0.0418
INFI|-18.3935|-0.4692|0.0000|-6.4906|0.0000|-18.3935|-18.3935|-18.3935|-1.0000|-18.3935
INFN|-0.6789|-0.0530|0.0000|91.0000|180.3290|-0.6789|-0.6789|-0.6789|0.0000|-0.6789
INFO|0.1024|0.0368|0.3134|40.4608|61.6980|0.0703|0.0781|0.0781|-0.0287|0.0786
INFY|0.2731|0.1501|0.4872|29.8983|7.0180|0.1401|0.1564|0.1564|0.0744|0.1586
ING|0.0338|0.0020|0.0000|6.8223|0.0000|0.0338|0.0338|0.0338|0.0338|0.0338
INGN|-0.0060|-0.0165|0.0000|-87.3036|2.9670|-0.0060|-0.0060|-0.0060|-1.0000|-0.0060
INGR|0.1288|0.0626|0.4990|15.1785|82.6350|0.0645|0.0974|0.0974|0.0775|0.0995
INKAU|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
INM|-1.0300|-0.5300|0.0000|99999.0000|7.2980|-1.0300|-1.0300|-1.0300|0.0000|-1.0300
INMB|-0.3402|-0.2080|0.0000|-13.5252|0.3790|-0.3402|-0.3402|-0.3402|-1.0000|-0.3402
INMD|0.2952|0.1492|0.0000|51.6048|0.2240|0.2952|0.2952|0.2952|0.1343|0.2952
INN|-0.0835|-0.0172|0.0000|-8.9271|103.6350|-0.0835|-0.0835|-0.0835|-1.0000|-0.0835
INO|-1.0068|-0.2614|0.0000|-18.5593|23.0320|-1.0068|-1.0068|-1.0068|-1.0000|-1.0068
INOD|-0.0184|0.0180|0.0000|-103.8000|35.5520|-0.0184|-0.0184|-0.0184|-1.0000|-0.0184
INOV|0.0087|0.0210|0.0000|643.4211|152.6750|0.0087|0.0087|0.0087|-0.0027|0.0087
INPX|-1.4892|-0.3292|0.0000|-1.8590|19.7510|-1.4892|-1.4892|-1.4892|-1.0000|-1.4892
INSE|0.0000|0.0110|0.0000|-3.5254|0.0000|0.0000|0.0000|0.0000|-1.0000|0.0000
INSG|0.0000|-0.0823|0.0000|113.1765|0.0000|0.0000|0.0000|0.0000|-0.0000|0.0000
INSI|0.0612|0.0226|0.4785|15.7368|0.0000|0.0319|0.0623|0.0623|0.0390|0.0633
INSM|-0.7408|-0.1697|0.0000|-13.6255|111.9280|-0.7408|-0.7408|-0.7408|-1.0000|-0.7408
INSP|-0.3137|-0.1605|0.0000|-89.6930|10.8270|-0.3137|-0.3137|-0.3137|-1.0000|-0.3137
INSW|0.1230|0.0704|0.0407|3.6615|53.6070|0.1180|0.1291|0.1291|0.1294|0.1305
INT|0.0900|0.0272|0.1533|12.1352|37.5350|0.0762|0.0889|0.0889|0.0876|0.0898
INTC|0.2636|0.1031|0.2672|11.3492|45.5690|0.1932|0.2167|0.2167|0.2190|0.2213
INTG|0.0000|-0.0075|0.0000|164.4737|0.0000|0.0000|0.0000|0.0000|-0.0001|0.0000
INTU|0.4431|0.1868|0.2926|49.6844|50.2190|0.3135|0.3194|0.3194|0.1677|0.3212
INTZ|-1.0142|-0.2490|0.0000|2170.0002|163.7160|-1.0142|-1.0142|-1.0142|0.0000|-1.0142
INVA|0.6759|0.2424|0.0000|6.3503|71.7200|0.6759|0.6759|0.6759|0.6759|0.6759
INVE|-0.1764|-0.0228|0.0000|-806.0001|83.8240|-0.1764|-0.1764|-0.1764|-1.0000|-0.1764
INVH|0.0217|0.0162|1.8125|90.9404|107.5060|-0.0176|0.0023|0.0023|-0.1385|0.0020
INVO|0.0000|-1.2854|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
INZY|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
IO|0.0000|-0.0001|0.0000|-1.5326|0.0000|0.0000|0.0000|0.0000|-1.0000|0.0000
IONS|0.0378|0.0237|0.0000|117.1622|51.0420|0.0378|0.0378|0.0378|-0.1564|0.0378
IOSP|0.0411|0.0438|0.6887|60.5493|3.2830|0.0128|0.0242|0.0242|-0.1040|0.0243
IOVA|-0.4775|-0.2743|0.0000|-21.2927|1.5320|-0.4775|-0.4775|-0.4775|-1.0000|-0.4775
IP|0.0680|0.0365|1.6400|40.1843|128.6780|-0.0435|-0.0027|-0.0027|-0.0838|-0.0045
IPA|-0.1132|-0.0800|0.0000|99999.0000|13.7300|-0.1132|-0.1132|-0.1132|-0.2052|-0.1132
IPAR|0.0657|0.0433|0.6600|62.6600|7.9940|0.0223|0.0329|0.0329|-0.0996|0.0331
IPDN|-1.5016|-0.2131|0.0000|-16.2143|36.1230|-1.5016|-1.5016|-1.5016|-1.0000|-1.5016
IPG|0.2069|0.0395|0.6897|17.0028|195.6170|0.0642|0.1048|0.1048|0.0768|0.1074
IPGP|0.0438|0.0477|0.0000|115.6911|1.8000|0.0438|0.0438|0.0438|-0.1505|0.0438
IPHA|-0.2279|-0.0818|0.0000|9.1111|9.0560|-0.2279|-0.2279|-0.2279|-0.2279|-0.2279
IPHI|-0.1697|-0.0113|0.0000|45.3120|147.7420|-0.1697|-0.1697|-0.1697|-0.0020|-0.1697
IPI|-0.0578|-0.0104|0.0000|215.6363|13.9610|-0.0578|-0.0578|-0.0578|-0.2754|-0.0578
IPLDP|0.0936|0.0272|0.0000|1.0470|85.0890|0.0936|0.0936|0.0936|0.0937|0.0937
IPOD|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
IPOE|0.0000|0.0000|0.0000|99999.0000|2025.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
IPOF|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
IPV|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
IPWR|-2.4859|-0.5411|0.0000|-64.0000|5.1360|-2.4859|-2.4859|-2.4859|-1.0000|-2.4859
IQ|-0.9001|-0.0887|0.0000|20.6887|349.2630|-0.9001|-0.9001|-0.9001|-0.7812|-0.9001
IQI|0.0261|0.0215|1.6886|36.2185|61.3180|-0.0180|0.0287|0.0287|-0.0455|0.0278
IQV|0.0317|0.0190|0.0000|197.1965|213.8530|0.0317|0.0317|0.0317|-0.2001|0.0317
IR|-0.0297|0.0145|0.0000|23.8212|45.7490|-0.0297|-0.0297|-0.0297|-0.0884|-0.0297
IRBT|0.2189|0.0938|0.0000|22.6513|7.4480|0.2189|0.2189|0.2189|0.1505|0.2189
IRCP|0.3979|0.0172|0.0224|0.3891|38.1460|0.3890|0.4466|0.4466|0.4634|0.4690
IRDM|-0.1049|0.0053|0.0000|-311.4375|115.1060|-0.1049|-0.1049|-0.1049|-1.0000|-0.1049
IRIX|-0.3740|-0.1533|0.0000|-14.0000|26.0840|-0.3740|-0.3740|-0.3740|-1.0000|-0.3740
IRL|-0.0289|-0.0053|0.0000|99999.0000|0.0000|-0.0289|-0.0289|-0.0289|-0.0000|-0.0289
IRM|0.1034|0.0369|5.3783|72.6304|1107.9420|-0.4528|-0.3787|-0.3787|-0.0000|-0.4122
IRMD|0.0706|0.0332|0.0000|78.0251|4.5730|0.0706|0.0706|0.0706|-0.0969|0.0706
IROQ|0.0557|0.0064|0.2055|13.3973|0.0000|0.0442|0.0596|0.0596|0.0491|0.0602
IRR|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
IRS|0.2173|0.0271|0.0000|0.2778|60.9810|0.2173|0.2173|0.2173|0.2173|0.2173
IRT|0.0421|0.0167|2.1429|49.4872|171.0570|-0.0481|-0.0048|-0.0048|-0.0950|-0.0069
IRTC|-0.2158|-0.0802|0.0000|-325.9740|37.5720|-0.2158|-0.2158|-0.2158|-1.0000|-0.2158
IRWD|0.0000|0.2168|0.0000|15.1001|7595.1560|0.0000|0.0000|0.0000|-0.0207|0.0000
ISBC|0.0831|0.0084|0.5802|12.4468|0.0000|0.0349|0.0815|0.0815|0.0768|0.0831
ISD|0.0000|0.0000|1.0405|99999.0000|0.0000|-0.0000|0.0000|0.0000|-0.5572|0.0000
ISEE|-0.5038|-0.3040|0.0000|-6.6750|0.0600|-0.5038|-0.5038|-0.5038|-1.0000|-0.5038
ISIG|-0.5177|-0.1623|0.0000|99999.0000|13.6450|-0.5177|-0.5177|-0.5177|0.0000|-0.5177
ISNS|0.0332|0.0215|0.0000|39.0179|5.8990|0.0332|0.0332|0.0332|-0.0718|0.0332
ISRG|0.1182|0.0628|0.0000|86.7755|0.0000|0.1182|0.1182|0.1182|-0.0658|0.1182
ISSC|0.1022|0.0428|0.0000|32.5263|0.1630|0.1022|0.1022|0.1022|0.0067|0.1022
ISTR|0.0572|0.0062|0.1969|12.8346|0.0000|0.0460|0.0613|0.0613|0.0547|0.0620
ISUN|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
IT|0.2195|0.0422|0.0000|66.2690|285.9380|0.2195|0.2195|0.2195|0.0441|0.2195
ITAC|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
ITACU|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
ITCB|0.0000|0.0000|0.0000|3.5933|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000
ITCI|-0.4419|-0.2515|0.0000|-10.5607|4.1070|-0.4419|-0.4419|-0.4419|-1.0000|-0.4419
ITGR|0.0617|0.0248|0.0000|34.9727|72.5440|0.0617|0.0617|0.0617|-0.0367|0.0617
ITI|-0.0414|-0.0116|0.0000|30.5936|16.9940|-0.0414|-0.0414|-0.0414|-0.1196|-0.0414
ITIC|0.1671|0.0962|0.0954|7.9234|1.8490|0.1512|0.1632|0.1632|0.1639|0.1651
ITMR|-0.2842|-0.1108|0.0000|-49.1569|15.0530|-0.2842|-0.2842|-0.2842|-1.0000|-0.2842
