ticker|returnOnEquity|returnOnAssets|payoutRatio|PE|debtToEquity|growthRate|ggmReturn|div10YReturn|rdpReturn
BIZ.BK|0.0414|0.0185|2.3674|36.0000|86.1400|-0.0566|0.0092|0.0092|-0.0577|0.0055
BJC.BK|0.0478|0.0219|0.7129|26.2128|142.3810|0.0137|0.0409|0.0409|-0.0207|0.0413
BJCHI.BK|-0.0210|-0.0244|0.0000|41.0000|0.1820|-0.0210|-0.0210|-0.0210|-0.1244|-0.0210
BKD.BK|0.0000|0.0000|0.0000|34.9020|0.0000|0.0000|0.0000|0.0000|-0.0925|0.0000
BKI.BK|0.1031|0.0401|0.5063|9.6912|2.9460|0.0509|0.1031|0.1031|0.1019|0.1058
BLA.BK|0.0479|0.0036|0.2608|19.6094|0.0000|0.0354|0.0487|0.0487|0.0057|0.0492
BLAND.BK|0.0164|0.0004|2.1429|38.8889|7.3680|-0.0187|0.0364|0.0364|-0.0381|0.0354
BLISS.BK|-0.8279|-0.1992|0.0000|99999.0000|71.6300|-0.8279|-0.8279|-0.8279|-0.7812|-0.8279
BM.BK|0.0717|0.0241|0.7273|23.0357|32.8030|0.0196|0.0511|0.0511|-0.0004|0.0518
BOL.BK|0.3029|0.1440|0.7798|39.9061|3.7730|0.0667|0.0862|0.0862|-0.0116|0.0875
BPP.BK|0.0543|0.0034|0.8584|24.4635|23.6890|0.0077|0.0428|0.0428|-0.0119|0.0430
BR.BK|-0.0901|-0.0073|0.0000|6.7273|153.7770|-0.0901|-0.0901|-0.0901|-0.0901|-0.0901
BROCK.BK|0.0189|0.0153|0.8658|70.8696|0.2490|0.0025|0.0148|0.0148|-0.1219|0.0148
BROOK.BK|0.3014|0.2479|0.4202|3.7273|0.0000|0.1747|0.2875|0.2875|0.3003|0.3072
BRR.BK|-0.1777|-0.0099|0.0000|9.4595|319.1640|-0.1777|-0.1777|-0.1777|-0.0004|-0.1777
BSBM.BK|0.0360|0.0277|1.3722|15.0820|0.3260|-0.0134|0.0776|0.0776|0.0582|0.0764
BSM.BK|-0.1440|-0.0065|0.0000|99999.0000|168.7480|-0.1440|-0.1440|-0.1440|-0.0000|-0.1440
BTNC.BK|-0.1206|-0.0491|0.0000|99999.0000|71.2720|-0.1206|-0.1206|-0.1206|-0.0123|-0.1206
BTS.BK|0.1028|0.0106|0.6721|16.8750|168.5740|0.0337|0.0735|0.0735|0.0457|0.0749
BTW.BK|-0.0259|-0.0001|0.0000|99999.0000|33.1030|-0.0259|-0.0259|-0.0259|0.0000|-0.0259
BUI.BK|0.0076|0.0034|1.3889|65.3631|8.0670|-0.0030|0.0183|0.0183|-0.1045|0.0182
BWG.BK|-0.0147|0.0041|0.0000|99999.0000|59.4780|-0.0147|-0.0147|-0.0147|-0.0000|-0.0147
CAZ.BK|0.1356|0.0435|0.4463|7.8992|102.6860|0.0751|0.1316|0.1316|0.1316|0.1358
CBG.BK|0.4042|0.1719|0.6069|42.4023|48.7320|0.1589|0.1732|0.1732|0.0596|0.1755
CCET.BK|0.0048|0.0081|2.5000|142.3529|128.7950|-0.0072|0.0104|0.0104|-0.1579|0.0102
CCP.BK|0.0723|0.0345|0.2950|13.2353|47.9940|0.0510|0.0733|0.0733|0.0640|0.0744
CEN.BK|-0.4216|-0.0062|0.0000|99999.0000|19.6120|-0.4216|-0.4216|-0.4216|0.0000|-0.4216
CENTEL.BK|-0.0793|-0.0136|0.0000|14.4118|186.6850|-0.0793|-0.0793|-0.0793|-0.0945|-0.0793
CFRESH.BK|-0.1298|-0.0135|0.0000|99999.0000|138.7560|-0.1298|-0.1298|-0.1298|-0.0000|-0.1298
CGD.BK|-0.1094|0.0109|0.0000|99999.0000|113.7070|-0.1094|-0.1094|-0.1094|-0.6080|-0.1094
CGH.BK|0.0209|0.0127|0.0000|23.9286|23.6620|0.0209|0.0209|0.0209|-0.0412|0.0209
CHARAN.BK|0.0492|0.0247|0.2304|14.0037|0.0000|0.0379|0.0543|0.0543|0.0401|0.0550
CHAYO.BK|0.1326|0.0767|0.0470|56.9149|83.7760|0.1264|0.1272|0.1272|-0.0205|0.1273
CHEWA.BK|-0.0559|-0.0081|0.0000|5.8140|232.7420|-0.0559|-0.0559|-0.0559|-0.0559|-0.0559
CHG.BK|0.1891|0.0946|0.7278|36.8116|42.2470|0.0515|0.0712|0.0712|-0.0196|0.0723
CHO.BK|-0.1298|-0.0035|0.0000|99999.0000|194.4290|-0.1298|-0.1298|-0.1298|-0.0000|-0.1298
CHOTI.BK|-0.1147|-0.0477|0.0000|99999.0000|36.1700|-0.1147|-0.1147|-0.1147|-0.1240|-0.1147
CHOW.BK|-0.3642|0.0038|0.0000|99999.0000|957.0080|-0.3642|-0.3642|-0.3642|0.0000|-0.3642
CI.BK|0.0629|-0.0255|0.0687|3.2301|302.9100|0.0585|0.0798|0.0798|0.0792|0.0811
CIG.BK|-0.5436|-0.2150|0.0000|99999.0000|59.6500|-0.5436|-0.5436|-0.5436|0.0000|-0.5436
CIMBT.BK|0.0322|0.0032|0.1000|16.4865|0.0000|0.0290|0.0351|0.0351|0.0062|0.0353
CITY.BK|-0.0101|-0.0078|0.0000|99999.0000|0.1740|-0.0101|-0.0101|-0.0101|-0.0003|-0.0101
CK.BK|0.0366|-0.0009|0.3448|26.2887|158.5740|0.0240|0.0371|0.0371|-0.0293|0.0374
CKP.BK|0.0269|0.0119|0.2609|39.8214|80.8920|0.0199|0.0265|0.0265|-0.0751|0.0266
CM.BK|0.0082|0.0043|2.0690|89.3333|0.1690|-0.0088|0.0144|0.0144|-0.1231|0.0142
CMAN.BK|-0.0205|0.0024|0.0000|5.2333|142.1290|-0.0205|-0.0205|-0.0205|-0.0205|-0.0205
CMC.BK|0.0052|-0.0011|2.7778|60.0000|100.7250|-0.0092|0.0371|0.0371|-0.0622|0.0366
CMO.BK|-0.1213|-0.0352|0.0000|99999.0000|108.9120|-0.1213|-0.1213|-0.1213|-0.0090|-0.1213
CMR.BK|0.0522|0.0197|1.1700|36.4000|69.3850|-0.0089|0.0233|0.0233|-0.0573|0.0230
CNT.BK|0.0522|0.0100|0.4444|13.5106|10.9020|0.0290|0.0619|0.0619|0.0507|0.0629
COL.BK|0.0701|0.0364|0.8209|27.9762|22.5490|0.0125|0.0419|0.0419|-0.0236|0.0423
COLOR.BK|0.0645|0.0290|0.4878|14.1463|34.2910|0.0330|0.0675|0.0675|0.0528|0.0687
COM7.BK|0.4166|0.1162|0.5455|39.6898|106.3900|0.1893|0.2031|0.2031|0.0920|0.2057
COMAN.BK|0.0118|0.0016|27.9486|704.9999|3.7250|-0.3180|-0.2784|-0.2784|-0.4065|-0.2910
COTTO.BK|0.0476|0.0295|0.2489|21.4286|1.5840|0.0357|0.0473|0.0473|-0.0034|0.0478
CPALL.BK|0.1813|0.0456|0.6345|29.1878|212.1640|0.0663|0.0880|0.0880|0.0144|0.0894
CPF.BK|0.1507|0.0430|0.2860|9.7900|173.8360|0.1076|0.1368|0.1368|0.1374|0.1400
CPH.BK|-0.2750|-0.0361|0.0000|99999.0000|99.8050|-0.2750|-0.2750|-0.2750|-0.6809|-0.2750
CPI.BK|0.0379|0.0198|0.6339|16.5179|106.5040|0.0139|0.0522|0.0522|0.0257|0.0528
CPL.BK|-0.0885|-0.0174|0.0000|99999.0000|107.2320|-0.0885|-0.0885|-0.0885|-0.5988|-0.0885
CPN.BK|0.1493|0.0438|0.3200|19.5391|126.5660|0.1015|0.1179|0.1179|0.0740|0.1196
CPR.BK|0.0324|0.0291|3.6120|27.0103|0.1140|-0.0846|0.0492|0.0492|0.0030|0.0379
CPT.BK|-0.0035|-0.0024|0.0000|99999.0000|2.3450|-0.0035|-0.0035|-0.0035|-0.0086|-0.0035
CPW.BK|0.1225|0.0574|0.1829|21.6495|40.5010|0.1001|0.1085|0.1085|0.0535|0.1094
CRANE.BK|0.0517|0.0103|0.0000|20.6944|92.3470|0.0517|0.0517|0.0517|0.0008|0.0517
CRC.BK|0.0899|0.0122|0.0000|34.1287|211.6180|0.0899|0.0899|0.0899|-0.0089|0.0899
CRD.BK|-0.2196|-0.0840|0.0000|99999.0000|48.4210|-0.2196|-0.2196|-0.2196|-0.0980|-0.2196
CSC.BK|0.0744|0.0338|0.1280|10.3839|0.2800|0.0649|0.0772|0.0772|0.0769|0.0780
CSP.BK|-0.0321|0.0114|0.0000|99999.0000|265.0410|-0.0321|-0.0321|-0.0321|-0.0000|-0.0321
CSR.BK|0.0249|0.0119|1.0191|39.4904|0.0000|-0.0005|0.0253|0.0253|-0.0637|0.0253
CSS.BK|0.0811|0.0268|0.3571|20.7273|18.6050|0.0522|0.0694|0.0694|0.0220|0.0703
CTW.BK|0.0542|0.0312|0.2985|10.3886|4.8680|0.0380|0.0668|0.0668|0.0655|0.0679
CWT.BK|0.0237|0.0230|0.0000|36.8317|97.5630|0.0237|0.0237|0.0237|-0.0755|0.0237
D.BK|-0.0522|-0.0084|0.0000|8.2326|116.7430|-0.0522|-0.0522|-0.0522|-0.0522|-0.0522
DCC.BK|0.2903|0.1261|0.5414|12.9282|56.4970|0.1331|0.1750|0.1750|0.1707|0.1806
DCON.BK|0.0318|0.0200|1.5000|33.0000|9.2120|-0.0159|0.0296|0.0296|-0.0400|0.0289
DCORP.BK|0.0000|0.0000|0.0000|99999.0000|0.0000|0.0000|0.0000|0.0000|-0.0338|0.0000
DDD.BK|-0.0163|-0.0155|0.0000|21.9767|0.7930|-0.0163|-0.0163|-0.0163|-0.0690|-0.0163
DELTA.BK|0.1691|0.0667|0.3805|103.9729|0.3540|0.1047|0.1084|0.1084|-0.0819|0.1088
