ticker|IRR|G|EPS|EPS_POS|EPS_N|DPR|PRICE
nasdaq:AMEH|0.0534|0.0678|1.4100|8.0000|9.0000|0.0000|37.7000
nasdaq:AMGN|0.1189|0.0568|13.4653|9.0000|9.0000|0.6770|244.4400
nasdaq:AMKR|0.2849|0.2718|2.3653|9.0000|9.0000|0.0496|25.8300
nasdaq:AMLX|0.0000|0.5586|-1.5633|0.0000|9.0000|0.0000|28.6100
nasdaq:AMNB|0.1981|0.0935|3.0384|9.0000|9.0000|0.3728|31.1400
nasdaq:AMOT|0.0303|0.0416|1.1302|9.0000|9.0000|0.0802|38.4600
nasdaq:AMPG|0.0000|0.1680|-0.1657|4.0000|9.0000|0.0000|2.7150
nasdaq:AMPH|0.3054|0.6168|0.9624|6.0000|9.0000|0.0000|38.1300
nasdaq:AMPL|0.0000|0.4520|-0.6989|0.0000|9.0000|0.0000|12.7600
nasdaq:AMR|0.4789|0.3883|23.6600|4.0000|9.0000|0.0057|162.3700
nasdaq:AMRK|0.3743|0.2685|5.2936|8.0000|9.0000|-0.0122|35.3500
nasdaq:AMRN|0.0000|-0.1876|-0.0740|1.0000|9.0000|0.0000|1.4900
nasdaq:AMRS|0.1671|-0.2826|0.7349|0.0000|9.0000|0.0000|1.2700
nasdaq:AMSC|-0.0471|-0.3935|1.5840|1.0000|9.0000|0.0000|4.6800
nasdaq:AMSF|0.0909|-0.0033|3.5149|9.0000|9.0000|0.3934|48.9900
nasdaq:AMST|0.0000|0.4135|-4.2907|0.0000|9.0000|0.0000|4.6900
nasdaq:AMSWA|0.0096|-0.0378|0.2736|9.0000|9.0000|1.0181|12.3400
nasdaq:AMTB|0.2341|0.2174|1.8633|7.0000|9.0000|0.0737|22.0600
nasdaq:AMTD|0.8825|0.2068|0.9056|5.0000|9.0000|0.0000|1.5800
nasdaq:AMTI|0.0000|0.3981|-3.0333|0.0000|9.0000|0.0000|0.3061
nasdaq:AMTX|0.0000|0.1976|-2.6518|1.0000|9.0000|0.0000|2.4300
nasdaq:AMV|0.0000|0.4931|-6.5131|0.0000|9.0000|0.0000|0.5400
nasdaq:AMWD|0.0367|-0.0123|2.7491|8.0000|9.0000|0.0000|52.1500
nasdaq:AMYT|0.0000|0.2336|-1.6011|1.0000|9.0000|0.0000|14.6100
nasdaq:AMZN|0.0444|0.2078|1.1472|7.0000|9.0000|0.0000|102.4100
nasdaq:ANAB|0.0000|0.2451|-3.1706|1.0000|9.0000|0.0000|22.0900
nasdaq:ANDE|0.1205|0.0821|2.0756|8.0000|9.0000|0.6198|41.7300
nasdaq:ANEB|0.0000|0.5250|-0.1998|0.0000|9.0000|0.0000|2.6801
nasdaq:ANGH|0.0000|0.4500|-21.2489|0.0000|9.0000|0.0000|1.6805
nasdaq:ANGI|0.0000|1.0853|-0.1009|3.0000|9.0000|0.0000|2.2100
nasdaq:ANGN|0.0000|0.3328|-2.1318|0.0000|9.0000|0.0000|0.5549
nasdaq:ANGO|0.0000|0.3261|-1.9526|1.0000|9.0000|0.0000|9.8800
nasdaq:ANIK|0.0000|-0.4709|-0.9376|7.0000|9.0000|0.0000|28.8600
nasdaq:ANIP|0.0000|3.6866|-2.7521|5.0000|9.0000|0.0000|38.8200
nasdaq:ANIX|0.0000|-0.0669|-0.4347|0.0000|9.0000|0.0000|4.7000
nasdaq:ANNX|0.0000|0.3808|-3.2744|0.0000|9.0000|0.0000|3.9500
nasdaq:ANPC|0.0000|0.2100|-19.8733|0.0000|9.0000|0.0000|4.1700
nasdaq:ANSS|0.0275|0.1050|5.9500|9.0000|9.0000|0.0000|329.4000
