ticker|IRR|G|EPS|EPS_POS|EPS_N|DPR|PRICE
bkk:BIOTEC|0.0000|-0.0397|-0.3692|2.0000|9.0000|0.0000|0.7700
bkk:BIS|0.2832|0.4434|0.2096|4.0000|9.0000|0.6687|7.4000
bkk:BIZ|0.0265|-0.0652|0.1401|9.0000|9.0000|1.1251|4.0400
bkk:BJC|0.0293|-0.0219|1.1991|9.0000|9.0000|0.6775|37.2500
bkk:BJCHI|0.0000|-0.3957|-0.0751|6.0000|9.0000|0.5074|1.6300
bkk:BKD|-0.0755|-0.1674|0.0311|8.0000|9.0000|0.5242|2.2400
bkk:BKI|0.0088|-0.0838|13.0178|8.0000|9.0000|0.3888|291.0000
bkk:BLA|0.0477|-0.0461|1.7860|9.0000|9.0000|0.2860|28.2500
bkk:BLAND|0.0096|-0.0903|0.0464|8.0000|9.0000|0.4046|0.9800
bkk:BLESS|0.3604|0.2681|0.1190|6.0000|9.0000|0.0000|0.8500
bkk:BLISS|0.0000|0.2740|-0.0456|3.0000|9.0000|0.0000|0.1400
bkk:BM|0.0090|-0.0328|0.1016|9.0000|9.0000|0.7239|4.1800
bkk:BOL|0.1490|0.1959|0.2998|9.0000|9.0000|0.9694|10.6000
bkk:BPP|0.1907|0.0704|1.5322|9.0000|9.0000|0.4673|15.6000
bkk:BR|0.0000|-0.3280|-0.0947|6.0000|9.0000|0.0108|3.1200
bkk:BRI|0.4965|0.4841|1.0473|4.0000|9.0000|0.2880|11.4000
bkk:BROCK|0.0905|0.1918|0.0310|9.0000|9.0000|0.6802|1.8200
bkk:BROOK|0.0000|-0.2858|-0.0079|8.0000|9.0000|0.6135|0.4800
bkk:BRR|0.1355|0.0932|0.4756|8.0000|9.0000|0.1860|6.7500
bkk:BSBM|0.0727|-0.0406|0.0544|8.0000|9.0000|0.6583|0.8400
bkk:BSM|-0.3830|-1.6269|-0.0239|5.0000|9.0000|0.0410|0.3200
bkk:BTG|0.1164|0.0738|1.5713|7.0000|9.0000|0.3748|27.0000
bkk:BTNC|0.0000|0.9230|-0.7142|5.0000|9.0000|0.2050|13.8000
bkk:BTS|-0.0005|-0.0983|0.2327|9.0000|9.0000|0.9094|7.2000
bkk:BTW|0.0000|-0.4851|-0.1352|5.0000|9.0000|0.0992|0.6000
bkk:BUI|0.1583|0.0652|1.1767|9.0000|9.0000|0.4845|14.6000
bkk:BVG|0.1622|0.3783|0.1284|4.0000|9.0000|0.1832|7.1000
bkk:BWG|0.0000|-0.6480|-0.0393|5.0000|9.0000|-0.0559|0.9800
bkk:BYD|0.0000|0.0474|-0.4462|1.0000|9.0000|0.0000|8.8000
bkk:CAZ|0.3352|0.2566|0.4415|9.0000|9.0000|0.0864|3.6200
bkk:CBG|0.1163|0.1293|3.0836|9.0000|9.0000|0.6934|89.2500
bkk:CCET|-0.0535|-0.1621|0.0469|9.0000|9.0000|0.6386|2.1200
bkk:CCP|-0.0757|-0.1537|0.0051|7.0000|9.0000|0.4429|0.4100
bkk:CEN|0.0000|0.2624|-0.5773|4.0000|9.0000|-0.0426|3.1000
bkk:CENTEL|0.0000|-0.5167|-0.6080|7.0000|9.0000|-0.0522|56.0000
bkk:CEYE|0.1839|0.2076|0.1875|6.0000|9.0000|1.0949|5.5000
bkk:CFRESH|0.0000|-0.6079|-0.3324|6.0000|9.0000|-0.0571|2.1600
bkk:CGD|-0.1364|-0.2956|0.0048|2.0000|9.0000|0.0000|0.3700
bkk:CGH|0.0000|-0.3844|-0.0228|7.0000|9.0000|-0.0359|0.8700
bkk:CH|0.2910|0.3800|0.1260|5.0000|9.0000|0.7784|3.3800
bkk:CHARAN|0.1736|0.1027|2.5978|7.0000|9.0000|0.3863|33.0000
bkk:CHASE|0.4644|0.4313|0.3633|3.0000|9.0000|0.0000|3.0200
bkk:CHAYO|0.0955|0.1820|0.2241|9.0000|9.0000|0.0892|7.8500
bkk:CHEWA|0.0104|-0.0925|0.0438|7.0000|9.0000|0.1081|0.7300
bkk:CHG|0.2453|0.2482|0.1951|9.0000|9.0000|0.6486|3.6200
bkk:CHIC|-0.0719|-0.1444|0.0100|7.0000|9.0000|0.4324|0.7900
bkk:CHO|0.0000|0.6728|-0.2559|4.0000|9.0000|-0.0976|0.3900
bkk:CHOTI|-0.1896|-0.4064|0.8878|5.0000|9.0000|0.3468|150.0000
bkk:CHOW|1.1358|1.2560|0.3086|4.0000|9.0000|0.0000|2.9000
bkk:CI|0.0000|9.5769|-0.1703|5.0000|9.0000|0.1392|0.7400
bkk:CIG|0.0000|0.5106|-0.2092|1.0000|9.0000|0.0000|0.5500
bkk:CIMBT|0.1402|0.1284|0.0526|7.0000|9.0000|0.1010|0.8200
bkk:CITY|0.0000|-0.4218|-0.1135|6.0000|9.0000|-0.0303|2.1000
bkk:CIVIL|0.2979|0.2269|0.2488|6.0000|9.0000|0.4556|2.8000
bkk:CK|-0.0247|-0.1068|0.5791|9.0000|9.0000|0.4338|20.5000
bkk:CKP|0.2307|0.2396|0.2354|9.0000|9.0000|0.4610|4.1400
bkk:CM|0.0000|-0.3249|-0.0447|7.0000|9.0000|0.1038|2.3200
bkk:CMAN|-0.0554|-0.1376|0.0544|7.0000|9.0000|0.0948|2.3200
bkk:CMC|0.0000|-0.2965|-0.0142|8.0000|9.0000|0.2713|1.4200
bkk:CMO|0.0000|0.2750|-0.2100|4.0000|9.0000|0.2468|3.6400
bkk:CMR|0.0147|-0.0492|0.0692|9.0000|9.0000|1.0001|2.5800
bkk:CNT|0.0000|0.1112|-0.0968|5.0000|9.0000|0.2097|1.4300
bkk:COLOR|0.2981|0.2566|0.1042|8.0000|9.0000|0.8946|1.6800
bkk:COM7|0.2186|0.3006|1.0980|9.0000|9.0000|0.5446|29.7500
bkk:COMAN|0.0000|-0.4840|-0.1302|6.0000|9.0000|0.1048|5.0000
bkk:COTTO|0.0000|-0.2550|-0.0015|7.0000|9.0000|0.1879|2.2200
bkk:CPALL|0.0262|0.0011|1.7284|9.0000|9.0000|0.5041|61.2500
bkk:CPANEL|0.1799|0.3315|0.2977|5.0000|9.0000|0.1575|10.3000
bkk:CPF|0.1308|0.0205|1.9293|9.0000|9.0000|0.3616|21.4000
bkk:CPH|-0.2203|-0.5776|1.0031|3.0000|9.0000|0.0000|28.0000
bkk:CPI|0.6106|0.4111|0.4284|6.0000|9.0000|0.4785|2.9200
bkk:CPL|0.0000|-7.4128|-0.1369|7.0000|9.0000|0.1718|2.6600
bkk:CPN|0.0692|0.0521|2.7473|9.0000|9.0000|0.3816|69.7500
bkk:CPR|0.0580|-0.0131|0.3127|9.0000|9.0000|0.3599|5.7500
bkk:CPT|0.0000|-0.6422|-0.0434|5.0000|9.0000|0.5477|0.7300
bkk:CPW|0.2296|0.1994|0.1844|8.0000|9.0000|0.7240|3.1400
bkk:CRANE|0.0000|0.1962|-0.2310|4.0000|9.0000|-0.0050|1.4700
